category,title,total_used,used_grades
GCSE,Applied Business,278,"[""B"", ""6"", ""A"", ""A*"", ""7"", ""C"", ""4"", ""5"", ""8"", ""9"", ""2"", ""D"", ""E"", ""3"", ""U"", ""1"", ""F""]"
BTEC - National Vocational Qualification,BTEC Sport (QCF),271,"[""Distinction"", ""Merit"", ""Distinction*"", ""Pass""]"
GCSE,Expressive Arts,266,"[""B"", ""A"", ""C"", ""7"", ""8"", ""6"", ""5"", ""3"", ""4"", ""D""]"
GCSE,Turkish,261,"[""8"", ""A*"", ""C"", ""A"", ""9"", ""B"", ""7"", ""9-9"", ""E"", ""6"", ""4"", ""5""]"
GCSE,CiDA,229,"[""Merit"", ""Pass"", ""Distinction"", ""Distinction*"", ""Fail"", ""B""]"
BTEC - National Vocational Qualification,BTEC Business (QCF),228,"[""Distinction*"", ""Distinction"", ""Pass"", ""Merit""]"
i GCSE,Mathematics (without coursework) ,222,"[""C"", ""B"", ""A"", ""8"", ""A*"", ""7"", ""6"", ""3"", ""5"", ""9"", ""E"", ""4"", ""G""]"
GCSE,Technology and Design,216,"[""B"", ""A*"", ""C"", ""A"", ""4"", ""6"", ""7"", ""5"", ""8"", ""E"", ""9"", ""3"", ""D"", ""1""]"
GCSE,Science - Combined (old pre2017),201,"[""A*"", ""B"", ""A"", ""6"", ""3"", ""7"", ""4"", ""5-4"", ""D"", ""5"", ""E"", ""C"", ""F"", ""8"", ""9""]"
BTEC - National Vocational Qualification,BTEC Business (Specialist: Finance) (QCF),201,"[""Merit"", ""Distinction*"", ""Distinction"", ""Pass"", ""Fail""]"
GCSE,Panjabi,199,"[""A*"", ""A"", ""B"", ""7"", ""C"", ""6"", ""9"", ""8"", ""E"", ""D"", ""4"", ""F"", ""5"", ""3""]"
GCSE,Classical Civilisation,199,"[""A"", ""A*"", ""B"", ""C"", ""6"", ""7"", ""5"", ""8"", ""9"", ""4"", ""D"", ""3""]"
i GCSE,First language English ,198,"[""C"", ""B"", ""A"", ""A*"", ""7"", ""8"", ""6"", ""5"", ""4"", ""9"", ""3""]"
GCSE,Polish,191,"[""A*"", ""A"", ""9"", ""6"", ""7"", ""8"", ""B"", ""5"", ""U""]"
i GCSE,Biology ,188,"[""B"", ""A"", ""A*"", ""7"", ""6"", ""8"", ""9"", ""C"", ""2"", ""5"", ""E"", ""F""]"
BTEC - National Vocational Qualification,BTEC Performing Arts (QCF),187,"[""Distinction"", ""Merit"", ""Distinction*"", ""Pass""]"
GCSE,Urdu,174,"[""B"", ""5"", ""A"", ""9"", ""A*"", ""C"", ""6"", ""7"", ""4"", ""8"", ""D"", ""E""]"
BTEC - National Vocational Qualification,BTEC 90-credit Health and Social Care (QCF),173,"[""Distinction*"", ""Distinction"", ""Merit"", ""Pass"", ""Fail""]"
BTEC - National Vocational Qualification,BTEC Business (Specialist) (QCF),173,"[""Merit"", ""Distinction"", ""Distinction*"", ""Pass""]"
GCSE,Business Studies and Economics,171,"[""A"", ""A*"", ""C"", ""B"", ""7"", ""5"", ""6"", ""8"", ""9"", ""D""]"
i GCSE,Physics ,161,"[""B"", ""A"", ""A*"", ""C"", ""8"", ""6"", ""7"", ""5"", ""9"", ""3"", ""D"", ""E"", ""U""]"
i GCSE,Chemistry ,160,"[""A"", ""B"", ""6"", ""7"", ""9"", ""A*"", ""8"", ""C"", ""2"", ""5"", ""G"", ""4""]"
i GCSE,Literature (English) ,148,"[""B"", ""5"", ""6"", ""8"", ""A"", ""A*"", ""7"", ""9"", ""2"", ""3"", ""C""]"
GCSE,Science - Combined:Synergy,143,"[""A*"", ""B"", ""A"", ""8"", ""6"", ""5"", ""C"", ""7"", ""4"", ""9"", ""3""]"
GCSE,Portuguese,140,"[""C"", ""A"", ""8"", ""7"", ""6"", ""A*"", ""9"", ""B"", ""4"", ""5""]"
GCSE,Financial Services ,130,"[""A*"", ""A"", ""B"", ""6"", ""9"", ""5"", ""C"", ""7"", ""8"", ""3"", ""E"", ""4""]"
GCSE,Catering,122,"[""9"", ""6"", ""B"", ""8"", ""A"", ""3"", ""4"", ""7"", ""5"", ""E"", ""C"", ""2"", ""A*""]"
GCSE,Bengali,119,"[""6"", ""A*"", ""A"", ""8"", ""5"", ""7"", ""B"", ""C"", ""3"", ""9"", ""4"", ""2"", ""1"", ""D""]"
GCSE,Electronics,116,"[""A"", ""A*"", ""B"", ""6"", ""C"", ""8"", ""7"", ""9"", ""5"", ""1"", ""4""]"
GCSE,Science - Further Additional ,115,"[""A*"", ""B"", ""A"", ""7"", ""9"", ""6"", ""C"", ""5"", ""8"", ""E"", ""D""]"
GCSE,Film Studies,113,"[""8"", ""5"", ""B"", ""6"", ""7"", ""C"", ""4"", ""9"", ""3"", ""A""]"
GCSE,Applied French (Single Award),108,"[""3"", ""6"", ""8"", ""B"", ""5"", ""4"", ""7"", ""A*"", ""C"", ""9"", ""A"", ""2"", ""D"", ""1"", ""E"", ""U""]"
GCSE,Science - Additional Applied,107,"[""A*"", ""B"", ""A"", ""8"", ""6"", ""C"", ""F"", ""E"", ""4"", ""3"", ""D"", ""5""]"
i GCSE,History ,99,"[""B"", ""8"", ""5"", ""A*"", ""6"", ""C"", ""9"", ""3"", ""A"", ""7"", ""F"", ""G""]"
BTEC - National Vocational Qualification,BTEC Music (QCF),99,"[""Merit"", ""Distinction"", ""Pass"", ""Distinction*""]"
GCSE,Food & Cookery,94,"[""A"", ""6"", ""A*"", ""D"", ""5"", ""3"", ""8"", ""7"", ""4"", ""9"", ""2"", ""B"", ""C"", ""1""]"
GCSE,Humanities,89,"[""C"", ""7"", ""B"", ""2"", ""3"", ""6"", ""5"", ""8"", ""A*"", ""4""]"
BTEC - National Vocational Qualification,BTEC Engineering (QCF),86,"[""Distinction"", ""Distinction*"", ""Pass"", ""Merit""]"
BTEC - National Vocational Qualification,BTEC Information Technology (Specialist) (QCF),85,"[""Merit"", ""Pass"", ""Distinction"", ""Distinction*""]"
BTEC - National Vocational Qualification,BTEC Creative Media Production (QCF),83,"[""Merit"", ""Pass"", ""Distinction*"", ""Distinction""]"
i GCSE,Geography ,81,"[""B"", ""A"", ""7"", ""8"", ""A*"", ""6"", ""5"", ""D"", ""2"", ""C""]"
BTEC - National Vocational Qualification,BTEC 90-credit Sport and Exercise Sciences (QCF),81,"[""Distinction"", ""Distinction*"", ""Merit"", ""Pass""]"
GCSE,Hospitality and Catering ,81,"[""B"", ""A"", ""A*"", ""6"", ""7"", ""4"", ""9"", ""5"", ""8"", ""C"", ""2""]"
BTEC - National Vocational Qualification,BTEC Level 1/Level 2 First Award in Sport,79,"[""Distinction*"", ""Distinction"", ""Merit"", ""Pass""]"
GCSE,Applied Media,77,"[""C"", ""7"", ""5"", ""4"", ""A"", ""A*"", ""B"", ""6"", ""8"", ""9"", ""3"", ""G""]"
i GCSE,Business studies ,74,"[""B"", ""8"", ""A*"", ""A"", ""C"", ""E"", ""5"", ""4"", ""6"", ""7"", ""D"", ""F""]"
i GCSE,French ,73,"[""B"", ""C"", ""A"", ""6"", ""7"", ""A*"", ""4"", ""5"", ""D"", ""8"", ""9"", ""E""]"
GCSE,Performing Arts,72,"[""6"", ""5"", ""B"", ""A*"", ""4"", ""7"", ""8"", ""A"", ""C"", ""9"", ""3""]"
GCSE,Russian,72,"[""A*"", ""A"", ""C"", ""B"", ""7"", ""9"", ""6"", ""8"", ""5""]"
GCSE,GCSE subjects,66,"[""A*"", ""A"", ""1"", ""7"", ""6"", ""5"", ""4"", ""3"", ""8"", ""B"", ""C"", ""9"", ""D""]"
GCSE,Japanese,66,"[""A*"", ""A"", ""5"", ""B"", ""D"", ""C"", ""9"", ""6"", ""8"", ""7"", ""4""]"
GCSE,Science - Applied,56,"[""8"", ""6"", ""5"", ""C"", ""4"", ""B"", ""A*"", ""3"", ""7""]"
GCSE,Astronomy,55,"[""6"", ""A*"", ""B"", ""E"", ""A"", ""3"", ""C"", ""7"", ""D"", ""F""]"
i GCSE,Computer studies ,54,"[""B"", ""A*"", ""D"", ""8"", ""A"", ""9"", ""7"", ""C"", ""6"", ""5"", ""E""]"
BTEC - National Vocational Qualification,BTEC Business and Administration (QCF),54,"[""Fail"", ""Merit"", ""Distinction"", ""Distinction*"", ""Pass""]"
i GCSE,Combined science ,52,"[""4"", ""B"", ""A"", ""6"", ""C"", ""D"", ""5"", ""7"", ""3"", ""1""]"
GCSE,Gujarati,51,"[""A"", ""A*"", ""9"", ""B"", ""C"", ""D"", ""6""]"
GCSE,Applied Performing Arts,51,"[""6"", ""C"", ""B"", ""4"", ""A*"", ""9"", ""3"", ""7"", ""A"", ""5""]"
i GCSE,Spanish ,49,"[""B"", ""A"", ""A*"", ""8"", ""5"", ""6"", ""7"", ""9"", ""C""]"
i GCSE,Additional mathematics ,44,"[""C"", ""B"", ""A"", ""8"", ""6"", ""A*"", ""7"", ""E""]"
GCSE,Greek,44,"[""A"", ""A*"", ""B"", ""C"", ""9"", ""4"", ""6"", ""8""]"
GCSE,ECDL,44,"[""Distinction"", ""Distinction*"", ""Pass"", ""Merit""]"
BTEC - National Vocational Qualification,BTEC Creative and Digital Media (QCF),44,"[""Merit"", ""Distinction"", ""Pass"", ""Distinction*"", ""9""]"
i GCSE,Religious studies ,42,"[""B"", ""7"", ""6"", ""C"", ""5"", ""A*"", ""8"", ""E"", ""3""]"
BTEC - National Vocational Qualification,BTEC 90-credit IT (QCF),42,"[""Distinction"", ""Merit"", ""Distinction*"", ""Pass""]"
GCSE,Home Economics,42,"[""8"", ""B"", ""A"", ""C"", ""6"", ""7"", ""3"", ""5"", ""A*""]"
GCSE,Performing Arts: Dance,42,"[""1"", ""3"", ""7"", ""A*"", ""9"", ""B"", ""8"", ""C"", ""5"", ""4"", ""6""]"
i GCSE,Economics ,41,"[""B"", ""A"", ""A*"", ""8"", ""C"", ""7""]"
BTEC - National Vocational Qualification,BTEC ICT Systems and Principles (QCF),41,"[""Distinction"", ""Pass"", ""Merit"", ""Distinction*""]"
GCSE,Tamil,41,"[""7"", ""C"", ""A"", ""B"", ""A*"", ""8"", ""9""]"
GCSE,Construction ,39,"[""7"", ""B"", ""8"", ""6"", ""4"", ""1"", ""A*"", ""5"", ""A"", ""C"", ""3""]"
i GCSE,Cambridge international mathematics ,39,"[""A*"", ""B"", ""C"", ""8"", ""6"", ""A"", ""D"", ""4""]"
Specialist Music,Mathematics,39,"[""6"", ""5"", ""4"", ""8"", ""D"", ""A"", ""2"", ""7""]"
Specialist Music,English Language,38,"[""7"", ""5"", ""4"", ""6"", ""8"", ""B"", ""A"", ""9"", ""3""]"
GCSE,Arabic: Spoken Language ,38,"[""A*"", ""7"", ""A"", ""6"", ""B"", ""8"", ""9"", ""5""]"
GCSE,Business and Communication Systems,36,"[""7"", ""B"", ""A"", ""6"", ""F"", ""A*"", ""G"", ""C"", ""5""]"
BTEC - National Vocational Qualification,BTEC 90-credit Creative Media Production (QCF),35,"[""Distinction*"", ""Distinction"", ""Merit"", ""Pass""]"
i GCSE,Art and design ,34,"[""B"", ""6"", ""4"", ""8"", ""A"", ""C"", ""7"", ""5"", ""A*""]"
GCSE,Applied Physical Education (Single Award) ,34,"[""B"", ""6"", ""A"", ""7"", ""A*"", ""9"", ""4"", ""8"", ""D""]"
BTEC - National Vocational Qualification,BTEC IT (QCF),34,"[""Pass"", ""Distinction"", ""Merit"", ""Distinction*""]"
GCSE,Persian,34,"[""A*"", ""A"", ""5"", ""9"", ""4"", ""C"", ""8"", ""7"", ""6""]"
i GCSE,English Language,34,"[""7"", ""C"", ""B"", ""A"", ""5"", ""8"", ""4"", ""A*"", ""6"", ""9"", ""2""]"
BTEC - National Vocational Qualification,BTEC Sports Development (QCF),33,"[""Pass"", ""Merit"", ""Distinction"", ""Distinction*""]"
Specialist Music,English Literature,33,"[""6"", ""5"", ""8"", ""A"", ""7"", ""3"", ""4"", ""1""]"
GCSE,Digital Communication ,31,"[""B"", ""5"", ""8"", ""6"", ""C"", ""A"", ""F"", ""7"", ""D"", ""4""]"
BTEC - National Vocational Qualification,BTEC Art and Design (QCF),30,"[""Merit"", ""Pass"", ""Distinction*"", ""Distinction""]"
BTEC - National Vocational Qualification,BTEC 90-credit Travel and Tourism (QCF),30,"[""Distinction*"", ""Pass"", ""Distinction"", ""Merit""]"
GCSE,Arabic: Written Language ,29,"[""A*"", ""7"", ""B"", ""8"", ""E"", ""A"", ""6"", ""4"", ""2"", ""G"", ""3"", ""9"", ""5""]"
BTEC - National Vocational Qualification,BTEC 90-credit Engineering (QCF),28,"[""Distinction*"", ""Merit"", ""Pass"", ""Distinction""]"
